,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
58,0.849129,0.519082,0.403936,0.16413,0.761525,0.376994,0.433625,0.133597,0.23439,0.076847,0.168908,0.130043,0.362684,0.145969,0.604948,0.335315,0.475657,0.641974,0.867776,0.993708,1.047145,0.756841,0.975655,1.048464,0.800575,0.673129,0.908266,0.608069,1.055379,1.486505,0.791061,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.08548,1.452352,0.67413,0.730002,0.786394,1.128733,0.775661,0.519627,0.769077,0.635356,1.518623,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,1.462847,0.673199,0.924828,1.604504,0.871411,0.568254,0.346528,0.314829,0.936385,0.431345,0.310184,0.284676,0.458119,0.582889,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.608583,1.920591,1.453537,1.052211,0.803822,0.253144,0.506058,0.453878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.849129,0.616092,0.826282,0.916014,0.826144,0.526509,0.508501,0.831197,0.255454,0.084587,0.329516,0.248223,0.777761,0.304338,0.145839,0.247475,0.315723,0.475657,0.641974,0.969426,1.206002,0.993708,1.047145,0.756841,0.975655,1.048684,0.800839,0.673349,0.90853,0.454891,0.784309,1.116242,0.579696,0.486205,0.423904,0.744493,0.718941,0.377417,1.442483,0.739552,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180621,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077642,1.939585,0.924828,1.604504,0.871675,0.56843,1.314105,0.891014,0.64716,0.702313,2.36891,0.931231,0.716149,0.525792,1.016679,1.303766,1.732443,1.69805,1.664245,1.554012,1.629256,1.609067,1.921163,1.453977,1.052519,0.804086,0.253188,0.50619,0.45401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.849129,0.616092,0.519082,0.403936,0.16413,0.761525,0.376994,0.433625,0.133597,0.23439,0.076847,0.168908,0.130043,0.362684,0.145969,0.777761,0.304338,0.145839,0.247475,0.315723,0.457076,0.474191,0.544735,0.761947,0.760516,0.57219,0.740226,0.795936,0.622116,0.510441,0.685516,0.673349,0.90853,0.608245,1.055687,1.486945,0.742655,0.389917,0.341041,0.791325,0.660017,0.563134,0.980966,0.718941,0.377417,0.563621,0.395503,0.781865,1.084796,0.514865,0.55732,1.00901,1.153474,1.192255,1.660598,1.104092,0.877962,1.10838,0.655632,2.230945,1.518799,0.901063,1.174351,0.177489,0.745316,0.563371,0.798318,0.405778,0.446587,1.151914,0.980793,0.8742,0.683443,0.242248,1.669786,0.568862,0.436952,0.774351,0.90371,0.995492,1.452508,2.47865,1.511286,2.123994,1.313709,0.89075,0.646984,0.702093,2.368206,0.930923,0.715929,0.525616,1.016371,1.303414,1.731915,1.697566,1.663761,1.553572,1.628772,1.608583,1.920591,1.453537,1.052211,0.803822,0.253144,0.506058,0.453878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.849129,0.616092,0.619982,0.695663,0.826144,0.376994,0.433625,0.38045,0.25316,0.084587,0.329516,0.248223,0.777761,0.774623,2.368406,0.604948,0.335315,0.475657,0.641974,0.867776,0.993708,1.047145,0.57219,0.740226,0.795936,0.622116,0.510441,0.685516,0.454891,0.784309,1.116242,0.579696,0.486205,0.423904,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563415,1.072659,0.536925,0.594562,1.587745,1.321394,1.180357,0.924533,0.31307,0.37824,0.277475,0.384058,0.647889,0.667119,1.077378,1.939101,0.924564,1.604108,0.871455,0.568298,0.459972,0.421659,1.311409,0.574853,0.427722,0.371061,0.640862,0.827626,1.049761,1.056953,1.025983,1.256087,2.705561,2.308949,1.63105,1.230419,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.849129,0.470976,0.619982,0.695663,0.826144,0.376994,0.433625,0.38045,0.25316,0.084587,0.329516,0.248223,0.777761,0.388653,0.494615,1.570099,0.604948,0.335315,0.475657,0.641974,0.867776,0.993708,1.047145,0.544735,0.36987,0.503889,0.756841,0.975655,1.048684,0.800839,0.510441,0.685516,0.454891,0.784309,1.116242,0.579696,0.486205,0.423904,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.420329,0.798582,0.40591,0.446719,1.152222,0.981101,0.874464,0.683663,1.180621,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077642,1.939585,0.924828,1.604504,0.871675,0.56843,0.460104,0.421791,1.311717,0.574985,0.427854,0.371149,0.640994,0.827846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.849129,0.470976,0.619982,0.916014,0.826144,0.376994,0.433625,0.38045,0.25316,0.084587,0.329516,0.248223,0.777761,0.388653,1.166201,0.455596,0.263417,0.370447,0.508658,0.641405,0.761947,0.760516,0.57219,0.740226,0.795936,0.622116,1.048684,0.800839,0.673349,0.90853,0.608245,1.055687,1.486945,0.791325,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180621,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077642,1.939585,0.924828,1.604504,0.871675,0.56843,0.460104,0.421791,1.311717,0.574985,0.427854,0.371149,0.640994,0.827846,1.050025,1.303766,1.732443,1.69805,1.664245,1.554012,1.629256,1.609067,1.921163,1.453977,1.052519,0.804086,0.253188,0.50619,0.45401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.849129,0.616092,0.826282,0.916014,0.826144,0.526509,0.508501,0.831197,0.255454,0.517968,0.388653,1.166201,0.455552,0.263329,0.370359,0.508526,0.641229,0.761727,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.784089,1.115934,0.57952,0.486073,0.423772,0.744273,0.718721,0.377329,0.563445,0.395371,0.750289,0.524087,1.08548,1.452352,0.67413,0.730002,0.786394,1.128733,0.775661,0.519627,0.769077,0.635356,1.518623,0.452328,0.451936,0.639219,0.901327,0.745536,0.563547,1.072923,0.40591,0.446719,1.152222,0.981101,0.874464,0.683663,0.242292,0.29288,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,0.903974,0.9958,1.452948,2.479354,1.511726,2.12461,1.314105,0.891014,0.64716,0.702313,2.36891,0.931231,0.716149,0.525792,1.016679,1.303766,1.732443,1.698006,1.663761,1.553572,1.628772,1.608583,1.920591,1.453537,1.052211,0.803822,0.253144,0.506058,0.453878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.849129,0.862868,0.826282,0.916014,1.091168,0.526509,0.508501,0.831197,0.255454,0.517968,0.388653,1.166201,0.455596,1.570099,0.604948,0.335315,0.475657,0.641974,0.867776,0.993708,1.047145,0.756841,0.975655,1.048684,0.800839,0.673349,0.90853,0.608245,1.055687,1.486945,0.791325,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180621,1.491557,1.806692,1.67027,0.562219,0.569038,0.437084,0.774571,0.903974,0.9958,1.452948,2.479354,1.511726,2.12461,1.314105,0.891014,0.64716,0.702313,2.36891,0.931231,0.716149,0.525792,1.016679,1.303766,1.732443,1.69805,1.664245,1.554012,1.629256,1.609067,1.921163,1.453977,1.052519,0.804086,0.253188,0.50619,0.45401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.849129,0.470976,1.00543,0.695663,0.826144,0.376994,0.433625,0.38045,0.25316,0.084587,0.329516,0.248223,0.777761,0.388653,1.166201,0.304338,0.145839,0.247475,0.315723,0.457076,0.474191,0.26748,0.183171,0.250898,0.263142,0.18575,0.16901,0.243005,0.168058,0.685516,0.454891,0.784309,1.116242,0.579696,0.486205,0.423904,0.744493,0.718941,0.377417,0.563621,0.395503,0.781865,1.084796,0.514865,0.55732,1.00901,1.153474,1.192255,1.660598,1.104092,0.877962,1.10838,0.655632,2.230945,1.174659,1.714758,0.840882,1.560389,0.836743,0.892503,2.250198,1.152222,0.981101,1.491557,1.806692,1.67027,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077642,0.9958,1.452948,2.479354,1.511726,2.12461,1.314105,0.464454,0.312357,0.254113,0.218043,0.64716,0.702313,2.36891,1.311717,0.574985,0.427854,0.931231,0.716149,0.525792,1.016679,0.827846,1.050025,1.057217,1.026247,1.256395,2.706221,2.309521,1.631446,1.609067,1.690838,0.853401,0.295438,1.453757,1.052211,0.803822,0.253144,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.849129,0.470976,0.619982,0.695663,0.826144,0.376994,0.433625,0.38045,0.25316,0.084587,0.329516,0.248223,0.777761,0.304338,0.145839,0.455596,0.263417,0.370447,0.508658,0.641405,0.761947,0.760516,0.57219,1.047145,0.756841,0.975655,1.048684,0.800839,0.673349,0.90853,0.608245,1.055687,1.486945,0.791325,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180621,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077642,1.939585,0.924828,1.604504,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.849129,0.616092,0.826282,0.695663,0.826144,0.526509,0.508501,0.831197,0.255454,0.517968,0.388653,0.668877,0.494615,1.570099,0.604948,0.335315,0.475657,0.641974,0.867776,0.993708,1.047145,0.756841,0.975655,1.048684,0.800839,0.673349,0.90853,0.608245,1.055687,1.486945,0.791325,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.765953,0.326358,1.084796,0.514865,0.67435,0.730222,0.786614,0.862838,0.592602,0.377125,0.587972,0.474911,1.136326,0.688305,0.539747,0.901327,0.745536,0.563547,1.072923,0.536969,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.849129,0.616092,0.826282,0.916014,0.826144,0.526509,0.508501,0.831197,0.255454,0.517968,0.388653,1.166201,0.774623,2.368406,0.455596,0.263417,0.370447,0.465296,0.66428,0.969118,0.867512,0.9934,0.760296,0.572014,0.740006,0.795672,0.62194,0.510309,0.685296,0.454759,0.908266,0.608069,1.055379,1.486505,0.791061,0.659797,0.562958,0.980658,0.967522,0.498821,0.750289,0.524087,1.08548,1.452352,0.67413,0.730002,0.786394,1.128733,0.775661,0.519627,0.769077,0.635356,1.108072,0.6555,2.230285,1.174307,1.714186,0.840618,1.559905,0.836479,0.892239,2.24945,1.491073,0.981101,0.874464,0.683663,1.67027,1.321746,0.242292,0.29288,0.63903,0.585762,0.292427,0.076913,0.098047,0.170958,0.150432,0.173149,0.186985,0.45121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.849129,0.616092,0.826282,0.695663,0.826144,0.526509,0.508501,0.831197,0.255454,0.517968,0.388653,0.668877,0.494615,1.570099,0.604948,0.335315,0.475657,0.641974,0.867776,0.993708,1.047145,0.756841,0.975655,1.048684,0.800839,0.673349,0.90853,0.608245,1.055687,1.486945,0.742655,0.389917,0.791325,0.660017,0.563134,0.980966,0.718941,0.377417,0.563621,0.395503,0.781865,1.084796,0.514865,0.55732,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.518887,0.901063,0.745316,0.563371,1.072615,0.536881,0.594518,1.587657,1.32135,1.180313,0.924489,0.31307,0.37824,0.277475,0.384058,0.647845,0.667075,1.077334,1.939013,0.92452,1.60402,0.871411,0.568254,0.459972,0.421659,1.311365,0.574809,0.427722,0.371061,0.640818,0.827582,1.049717,1.056909,1.025939,1.256043,2.705429,2.308861,1.630962,1.230375,0.409222,0.383737,0.115373,0.228518,0.20623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.849129,0.616092,0.826282,0.916014,0.826144,0.526509,0.508501,0.831197,0.25316,0.084587,0.329516,0.248223,0.777761,0.304338,0.145839,0.247475,0.465428,0.6645,0.969426,1.206002,1.523278,1.574748,1.047145,0.756841,1.167217,1.504032,1.578262,1.11885,0.673349,0.90853,0.608245,1.055687,1.486945,0.791325,0.660017,0.563134,0.993415,0.870247,1.391344,1.442483,0.739552,1.251236,0.820219,1.716818,2.229485,1.00901,1.153474,1.192255,1.660598,1.129041,0.775881,0.519759,1.104092,0.877962,1.10838,0.655632,1.519063,0.901327,0.745536,1.136326,0.452328,0.639219,0.321554,0.59867,0.279827,0.295086,0.789121,0.63903,1.588141,1.321746,1.806692,1.67027,0.562219,0.569038,0.437084,0.774571,0.903974,0.9958,1.452948,2.479354,1.511726,2.12461,1.314105,0.891014,0.64716,0.702313,2.36891,0.931231,0.716149,0.525792,1.016679,1.303766,1.732443,1.69805,1.664157,1.553572,1.628772,1.608583,1.920591,1.453537,1.052211,0.803822,0.253144,0.506058,0.453878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.849129,0.616092,0.826282,0.916014,0.826144,0.526509,0.508501,0.831197,0.255454,0.517968,0.388653,1.166201,0.494615,1.570099,0.909931,0.335315,0.475657,0.641974,0.867776,0.993708,1.047145,0.756841,0.975655,1.048684,0.800839,0.673349,0.90853,0.608245,1.055687,1.486945,0.791325,0.660017,0.563134,0.980966,0.96783,0.498953,0.750509,0.524219,1.085788,1.452792,0.67435,0.730222,0.786614,1.129041,0.775881,0.519759,0.769297,0.635532,1.519063,0.901327,0.745536,0.563547,1.072923,0.537057,0.594694,1.588141,1.321746,1.180621,0.924797,0.313158,0.378328,0.277563,0.384146,0.648021,0.667295,1.077642,1.939585,0.924828,1.604504,0.871675,0.56843,0.460104,0.421791,1.311717,0.574985,0.427854,0.371149,0.640994,0.827846,1.050025,1.057217,1.026247,1.256395,2.706221,2.309521,1.631446,1.230727,0.409354,0.383825,0.115373,0.228562,0.206274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.849129,0.616092,0.619982,0.695663,0.826144,0.376994,0.433625,0.38045,0.25316,0.084587,0.329516,0.248223,0.777761,0.304338,0.145839,0.247475,0.315723,0.457076,0.474191,0.544735,0.36987,0.503889,0.509666,0.394307,0.347334,0.475134,0.322539,0.685516,0.454891,0.784309,1.116242,0.579696,0.486205,0.423904,0.744493,0.718941,0.377417,0.563621,0.395503,0.781865,1.084796,0.514865,0.55732,0.586699,0.862838,0.592602,0.377125,0.587972,0.474911,1.136326,0.688305,0.539747,0.420329,0.798582,0.40591,0.446719,1.152222,0.981101,0.874464,0.683663,0.242292,0.29288,0.215859,0.310107,0.500913,0.509749,0.81257,1.462847,0.673199,1.189677,0.66475,0.436343,0.346616,0.314917,0.936693,0.431477,0.310272,0.284764,0.458251,0.583065,0.640994,0.827846,1.050025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
